epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,3109.88,1.92318,2.30487,2.25577,0.37209,0.33506,0.37098,0.14783,1.91636,2.08762,2.50962,0.000775534,0.000775534,0.000775534
63,3161.05,1.88951,2.27512,2.22861,0.48688,0.36794,0.37254,0.15058,1.92853,2.17555,2.50986,0.000770034,0.000770034,0.000770034
64,3211.84,1.8867,2.28403,2.24431,0.45332,0.3758,0.36986,0.16615,1.95323,2.14645,2.52705,0.000764535,0.000764535,0.000764535
65,3263.05,1.88914,2.31206,2.23847,0.42042,0.39035,0.37816,0.15412,1.90081,2.10226,2.4864,0.000759035,0.000759035,0.000759035
66,3312.19,1.87562,2.20807,2.21459,0.43224,0.37874,0.36881,0.16043,2.02782,2.13405,2.56627,0.000753536,0.000753536,0.000753536
67,3361.65,1.89172,2.26359,2.21134,0.47395,0.33373,0.38303,0.15725,1.90243,2.17935,2.46761,0.000748036,0.000748036,0.000748036
68,3411.5,1.8747,2.22653,2.22353,0.43979,0.40875,0.40055,0.16884,1.90069,2.04472,2.47918,0.000742537,0.000742537,0.000742537
69,3462.48,1.86321,2.28916,2.23101,0.35723,0.3203,0.34332,0.14609,1.92556,2.0502,2.52218,0.000737037,0.000737037,0.000737037
70,3512.13,1.8781,2.20621,2.2303,0.3986,0.38054,0.38862,0.16562,1.85663,2.06557,2.44673,0.000731538,0.000731538,0.000731538
71,3562,1.86422,2.18345,2.20535,0.37917,0.41867,0.37233,0.17011,1.87636,2.0446,2.45345,0.000726038,0.000726038,0.000726038
72,3611.68,1.83868,2.1439,2.17625,0.32771,0.44231,0.43581,0.17714,1.88933,2.04474,2.46343,0.000720539,0.000720539,0.000720539
73,3662.99,1.83456,2.15783,2.17921,0.43179,0.37483,0.36928,0.15328,1.94671,2.21269,2.51005,0.00071504,0.00071504,0.00071504
74,3712.51,1.84893,2.174,2.19562,0.3854,0.4051,0.40236,0.17925,1.88249,2.00023,2.43474,0.00070954,0.00070954,0.00070954
75,3761.79,1.83202,2.14039,2.16114,0.43639,0.37017,0.37122,0.16441,1.95489,2.01444,2.53021,0.000704041,0.000704041,0.000704041
76,3811.15,1.84345,2.18206,2.19834,0.38431,0.36647,0.38031,0.16351,1.91345,2.07019,2.48363,0.000698541,0.000698541,0.000698541
77,3860.58,1.84353,2.19374,2.17849,0.40786,0.40495,0.39479,0.16869,1.90875,1.95083,2.4835,0.000693042,0.000693042,0.000693042
78,3910.48,1.81355,2.09912,2.14783,0.31675,0.388,0.35577,0.15769,1.93567,2.08156,2.5095,0.000687542,0.000687542,0.000687542
79,3959.27,1.82225,2.15806,2.18289,0.46835,0.41504,0.39503,0.16754,1.9272,1.98809,2.5046,0.000682043,0.000682043,0.000682043
80,4008.33,1.79044,2.10652,2.12795,0.45058,0.4543,0.44031,0.18769,1.85262,1.99422,2.44963,0.000676543,0.000676543,0.000676543
81,4060.38,1.78819,2.09075,2.16058,0.55106,0.41158,0.45234,0.20018,1.88517,1.89788,2.46755,0.000671044,0.000671044,0.000671044
82,4112.25,1.80757,2.11379,2.15258,0.40588,0.42914,0.42828,0.20053,1.84447,1.89539,2.42134,0.000665545,0.000665545,0.000665545
83,4162.36,1.80619,2.07664,2.12277,0.44526,0.45447,0.46538,0.20252,1.84981,1.99436,2.42965,0.000660045,0.000660045,0.000660045
84,4212.95,1.80158,2.09097,2.15494,0.50969,0.41397,0.43866,0.19148,1.82377,2.00824,2.39698,0.000654546,0.000654546,0.000654546
85,4262.38,1.77516,2.07592,2.13493,0.36815,0.40908,0.38315,0.1695,1.8988,1.9997,2.50074,0.000649046,0.000649046,0.000649046
86,4312.54,1.77054,2.05938,2.13234,0.47232,0.3975,0.43889,0.19655,1.8944,1.99011,2.46477,0.000643547,0.000643547,0.000643547
87,4361.57,1.77045,2.04597,2.11306,0.44342,0.41011,0.43109,0.20293,1.85404,1.97057,2.45917,0.000638047,0.000638047,0.000638047
88,4410.81,1.75436,2.01341,2.1154,0.50193,0.38951,0.43125,0.19298,1.86437,1.93626,2.45473,0.000632548,0.000632548,0.000632548
89,4460.07,1.76034,2.04357,2.11233,0.41687,0.43783,0.3883,0.18259,1.84164,2.00103,2.44022,0.000627048,0.000627048,0.000627048
90,4509.25,1.76026,2.06557,2.11498,0.37587,0.49578,0.42512,0.20124,1.86078,1.96616,2.42761,0.000621549,0.000621549,0.000621549
91,4559.08,1.76039,2.1002,2.13046,0.63343,0.37505,0.43811,0.20439,1.85279,1.84809,2.42577,0.000616049,0.000616049,0.000616049
92,4608.48,1.76633,2.00033,2.12793,0.44832,0.42559,0.44145,0.19749,1.89817,1.87256,2.46575,0.00061055,0.00061055,0.00061055
93,4657.51,1.78688,1.99768,2.10898,0.43302,0.49055,0.43821,0.19873,1.79633,1.92658,2.44132,0.000605051,0.000605051,0.000605051
94,4707.36,1.70786,1.94665,2.06898,0.45156,0.41927,0.40575,0.19028,1.88626,1.94983,2.46413,0.000599551,0.000599551,0.000599551
95,4756.81,1.74347,2.00607,2.09067,0.50849,0.40795,0.45995,0.20598,1.86348,1.9155,2.48507,0.000594052,0.000594052,0.000594052
96,4807.44,1.72764,1.99613,2.07719,0.46219,0.48301,0.44803,0.19664,1.88896,1.86465,2.46458,0.000588552,0.000588552,0.000588552
97,4857.47,1.77651,2.01554,2.10796,0.51049,0.38707,0.43823,0.20604,1.84695,1.96418,2.44449,0.000583053,0.000583053,0.000583053
98,4906.69,1.74474,1.96183,2.08951,0.48084,0.44158,0.45068,0.1891,1.94199,1.90102,2.55101,0.000577553,0.000577553,0.000577553
99,4955.8,1.73373,1.9525,2.05588,0.53228,0.41975,0.43732,0.20935,1.81853,1.87009,2.411,0.000572054,0.000572054,0.000572054
100,5007.61,1.73698,1.99196,2.07858,0.56271,0.48627,0.47421,0.20721,1.8454,1.81046,2.45848,0.000566554,0.000566554,0.000566554
101,5058.54,1.71567,1.94057,2.06608,0.38519,0.45392,0.43661,0.19961,1.78322,1.83269,2.42511,0.000561055,0.000561055,0.000561055
102,5107.98,1.71256,1.95672,2.0625,0.42002,0.45773,0.45483,0.1986,1.83273,1.85884,2.44841,0.000555556,0.000555556,0.000555556
103,5157.23,1.70956,1.93888,2.0497,0.37159,0.49918,0.44609,0.20215,1.86232,1.85124,2.48325,0.000550056,0.000550056,0.000550056
104,5206.3,1.69742,1.94625,2.05278,0.39089,0.49799,0.45059,0.19807,1.86458,1.9683,2.45754,0.000544557,0.000544557,0.000544557
105,5255.39,1.67156,1.92973,2.0498,0.45385,0.4326,0.41546,0.17976,1.89151,1.86204,2.50465,0.000539057,0.000539057,0.000539057
106,5305.36,1.68455,1.90531,2.0454,0.37277,0.47259,0.45637,0.20255,1.86907,1.90196,2.46303,0.000533558,0.000533558,0.000533558
107,5354.73,1.67823,1.90869,2.03479,0.5428,0.40042,0.43206,0.2027,1.83362,1.78777,2.43701,0.000528058,0.000528058,0.000528058
108,5404.01,1.68338,1.94266,2.05362,0.38239,0.44789,0.43467,0.20515,1.83799,1.85211,2.44856,0.000522559,0.000522559,0.000522559
109,5454.03,1.70309,1.90164,2.05068,0.42474,0.5085,0.45497,0.20325,1.83619,1.82086,2.45092,0.000517059,0.000517059,0.000517059
110,5503.44,1.67597,1.90459,2.03867,0.53208,0.39519,0.45629,0.20367,1.82901,1.77011,2.46222,0.00051156,0.00051156,0.00051156
111,5552.95,1.65921,1.85917,2.023,0.41615,0.51145,0.44789,0.20607,1.8416,1.84466,2.40086,0.00050606,0.00050606,0.00050606
112,5602.59,1.67088,1.88674,2.00461,0.50063,0.40817,0.46774,0.22099,1.80509,1.78862,2.423,0.000500561,0.000500561,0.000500561
113,5653.63,1.63557,1.8509,1.97784,0.63167,0.45505,0.48403,0.22205,1.8211,1.86846,2.437,0.000495062,0.000495062,0.000495062
114,5704.45,1.62717,1.86122,1.98541,0.41633,0.47679,0.42147,0.19736,1.84219,1.86259,2.47132,0.000489562,0.000489562,0.000489562
115,5754.85,1.64207,1.86121,2.0118,0.43499,0.45804,0.44638,0.21206,1.84758,1.86295,2.46026,0.000484063,0.000484063,0.000484063
116,5804.01,1.63143,1.82871,2.00067,0.52778,0.36178,0.43765,0.20625,1.84499,1.85139,2.46982,0.000478563,0.000478563,0.000478563
117,5853.13,1.64982,1.8522,2.00759,0.49713,0.43508,0.45499,0.20611,1.87295,1.80047,2.46979,0.000473064,0.000473064,0.000473064
118,5903.2,1.64742,1.82921,1.99915,0.52463,0.48718,0.46351,0.21338,1.81181,1.76986,2.46041,0.000467564,0.000467564,0.000467564
119,5952.47,1.61188,1.8578,1.98065,0.52362,0.47363,0.46694,0.21012,1.85054,1.76288,2.46933,0.000462065,0.000462065,0.000462065
120,6001.86,1.61198,1.78945,1.95544,0.48119,0.49048,0.49339,0.226,1.78926,1.72179,2.41467,0.000456565,0.000456565,0.000456565
121,6053.82,1.56481,1.85928,1.9333,0.56285,0.45161,0.50407,0.24389,1.78497,1.75122,2.42139,0.000451066,0.000451066,0.000451066
122,6105.76,1.60285,1.78006,1.96895,0.58715,0.44324,0.50324,0.22438,1.88345,1.72888,2.54342,0.000445567,0.000445567,0.000445567
123,6154.95,1.61832,1.79066,1.99996,0.56046,0.48372,0.50665,0.23008,1.86152,1.72022,2.50041,0.000440067,0.000440067,0.000440067
124,6204.41,1.60716,1.79498,1.9757,0.57744,0.44363,0.48674,0.22687,1.85524,1.7977,2.4792,0.000434568,0.000434568,0.000434568
125,6254.31,1.59945,1.76714,1.94665,0.52945,0.43948,0.45001,0.21123,1.83646,1.84491,2.46692,0.000429068,0.000429068,0.000429068
126,6304.24,1.59551,1.77402,1.95152,0.48276,0.41755,0.47361,0.23326,1.80504,1.75674,2.44362,0.000423569,0.000423569,0.000423569
127,6353.85,1.59831,1.80614,1.98752,0.49801,0.46126,0.48686,0.22797,1.82837,1.7696,2.4875,0.000418069,0.000418069,0.000418069
128,6403.28,1.59688,1.75023,1.96475,0.39954,0.53977,0.47482,0.22103,1.85576,1.78675,2.51992,0.00041257,0.00041257,0.00041257
129,6452.33,1.58228,1.76098,1.94272,0.56928,0.462,0.48084,0.22426,1.82332,1.77808,2.46478,0.00040707,0.00040707,0.00040707
130,6501.68,1.56799,1.74075,1.93885,0.55813,0.47093,0.50499,0.24154,1.79957,1.6609,2.42744,0.000401571,0.000401571,0.000401571
